Id,Degree,Eccentricity,closnesscentrality,betweenesscentrality,modularity_class
35091,1,0,0,0,157
53801,1,0,0,0,157
33044,10,1,1,0,4
95901,1,0,0,0,4
51300,1,0,0,0,4
36219,1,0,0,0,4
93763,1,0,0,0,4
96646,1,0,0,0,4
91745,1,0,0,0,4
42423,1,0,0,0,4
33678,1,0,0,0,4
44261,1,0,0,0,4
63130,1,0,0,0,4
84631,28,2,0.965517,56,745
22295,1,0,0,0,745
7327,1,0,0,0,745
93915,1,0,0,0,745
89055,1,0,0,0,745
18659,1,0,0,0,745
49484,1,0,0,0,745
44977,1,0,0,0,745
10120,1,0,0,0,745
87632,1,0,0,0,745
90763,1,0,0,0,745
31020,2,1,1,3,745
38377,1,0,0,0,745
59396,1,0,0,0,745
10192,1,0,0,0,745
55612,1,0,0,0,745
88411,1,0,0,0,745
69544,1,0,0,0,745
3923,1,0,0,0,745
52046,1,0,0,0,745
17392,1,0,0,0,745
1293,1,0,0,0,745
92938,1,0,0,0,745
458,1,0,0,0,745
53560,1,0,0,0,745
99850,1,0,0,0,745
92208,25,3,0.848485,0,18
8285,1,0,0,0,18
21342,1,0,0,0,18
54393,1,0,0,0,18
80535,1,0,0,0,18
14139,1,0,0,0,18
87216,1,0,0,0,18
99163,1,0,0,0,18
59122,1,0,0,0,18
21922,1,0,0,0,18
90125,1,0,0,0,18
82093,1,0,0,0,18
70020,1,0,0,0,18
29903,1,0,0,0,18
21920,1,0,0,0,18
95571,1,0,0,0,18
79028,1,0,0,0,18
21074,1,0,0,0,18
32010,1,0,0,0,18
97181,1,0,0,0,18
25306,1,0,0,0,18
85065,1,0,0,0,18
79808,2,2,0.6,3,18
41265,1,0,0,0,18
26887,1,0,0,0,18
57201,28,2,0.911765,0,1012
99061,3,1,1,2,1012
47032,1,0,0,0,1012
2804,1,0,0,0,1012
53192,1,0,0,0,1012
42288,1,0,0,0,1012
48106,1,0,0,0,1012
89108,1,0,0,0,1012
86073,1,0,0,0,1012
15936,1,0,0,0,1012
27842,1,0,0,0,1012
5648,1,0,0,0,1012
12863,1,0,0,0,1012
78470,1,0,0,0,1012
47072,1,0,0,0,1012
39488,1,0,0,0,1012
99719,1,0,0,0,1012
33390,1,0,0,0,1012
15783,1,0,0,0,1012
86042,1,0,0,0,1012
93347,1,0,0,0,1012
29176,1,0,0,0,1012
227,1,0,0,0,1012
24752,1,0,0,0,1012
6859,1,0,0,0,1012
48901,1,0,0,0,1012
14996,1,0,0,0,1012
50435,1,0,0,0,1012
19861,9,1,1,8,42
40645,1,0,0,0,42
53416,1,0,0,0,42
30727,1,0,0,0,42
80161,1,0,0,0,42
94793,1,0,0,0,42
15146,1,0,0,0,42
38036,1,0,0,0,42
99481,11,1,1,20,5
13917,2,0,0,0,5
71131,1,0,0,0,5
53557,1,0,0,0,5
7932,2,0,0,0,5
7578,2,0,0,0,5
62810,1,0,0,0,5
17070,2,0,0,0,5
16433,1,0,0,0,5
52550,1,0,0,0,5
54475,1,0,0,0,5
68791,30,2,0.941176,0,137
62487,1,0,0,0,137
84833,1,0,0,0,137
75811,1,0,0,0,137
81109,2,0,0,0,137
51754,1,0,0,0,137
81556,1,0,0,0,137
35130,1,0,0,0,137
